Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,-log10P,Category
Dkk4,290.1346641327244,12.006028367111098,0.744818888203721,16.119392992390438,1.864314611151276e-58,8.509295515293144e-56,Dkk4,57.72948079672586,DEG
Hoxc5,52.07934075166227,11.112126049752145,1.922366703687626,5.780440343892788,7.450535448292963e-09,1.2216201668832236e-07,Hoxc5,8.127812514650001,DEG
Hoxb6,110.53119000817458,10.817243580171167,1.395792900065705,7.749891534526333,9.197107371944537e-15,3.1261600870026286e-13,Hoxb6,14.03634874329978,DEG
Fgf20,27.742612354513586,10.376941744156394,1.4661822925908516,7.077524941199211,1.4675178733173066e-12,3.92936419381475e-11,Fgf20,11.833416600652198,DEG
Hoxb5,64.53786312533612,9.330682182466935,1.911531588580609,4.8812597386346885,1.0541029462643436e-06,1.2388234416082119e-05,Hoxb5,5.977116972793993,DEG
Hoxaas3,264.9788177033551,8.992733306339991,0.9340093041377449,9.628098206839459,6.08451188770651e-22,3.9089254521791103e-20,Hoxaas3,21.215774256049908,DEG
Hoxb8,218.8770295931001,8.940755430327915,0.8644344297139297,10.342896028894534,4.507073272961731e-25,3.7641733443312087e-23,Hoxb8,24.346105381404442,DEG
Hoxd9,40.802020577475254,8.822149276186861,1.9830789001874813,4.448713198124801,8.638627481259573e-06,8.816745827402029e-05,Hoxd9,5.063555253431479,DEG
Hoxb4,33.58638843650645,8.488430249048431,1.933851164171398,4.389391699999565,1.1366816872236829e-05,0.00011315791597410913,Hoxb4,4.944361136751863,DEG
Hoxb5os,113.1877301261731,8.254291526467831,1.9357013990947711,4.264238032956913,2.005855230283029e-05,0.00019161799794183438,Hoxb5os,4.697700414764277,DEG
Hoxc4,140.43286271961358,8.087379715011211,0.656577465166237,12.317479877204725,7.293812702169887e-35,1.1406535059692213e-32,Hoxc4,34.13704539312787,DEG
Defa30,286.3247171781113,8.016735793139876,0.4883159266550573,16.41710899755854,1.4427915417157865e-60,7.260755947047406e-58,Defa30,59.84079641237317,DEG
Ptprb,12.868662580801256,7.967640670269978,1.9701091337632377,4.044263606377203,5.248783733308035e-05,0.00046508015323598254,Ptprb,4.279941321186115,DEG
Sprr2a3,168.04854059647357,7.92152980301649,0.6913978016410871,11.45726784813911,2.1622856911028773e-30,2.611575391780346e-28,Sprr2a3,29.665086925612805,DEG
Slc38a8,22.905379736591996,7.87172063716895,1.9786839233451077,3.9782607743945477,6.94212100668635e-05,0.0006002182288005712,Slc38a8,4.158507820500658,DEG
Msgn1,151.77614884828958,7.822468793342254,1.1185901350213994,6.993150170408579,2.6878153804224116e-12,6.954833034127944e-11,Msgn1,11.570600565237779,DEG
Hes7,308.87217619130655,7.792796736921942,0.6629366246331457,11.754964875012451,6.658843565573795e-32,8.890462125151978e-30,Hes7,31.176601187751412,DEG
Svopl,17.252672157332004,7.783370036312285,0.9615270574375511,8.094800844247482,5.735811622964221e-16,2.162803204958834e-14,Svopl,15.241405120319785,DEG
Stra6,817.8518061696955,7.766364694842165,0.3071200412832007,25.28771701902927,4.360183860865946e-141,2.1393787136321373e-137,Stra6,140.36049519695254,DEG
Hoxb7,112.19044579927039,7.7226624646665485,0.6056145898234231,12.751777441356255,3.0471736740019463e-37,5.461676174684858e-35,Hoxb7,36.51610279240968,DEG
Sv2b,22.224664665985966,7.412741339815834,1.921634749267822,3.857518366921822,0.00011454407443541964,0.0009489655031265358,Sv2b,3.9410273727038505,DEG
Gm15050,36.68113399571768,7.171573259780689,1.3897432636606628,5.160358353448936,2.464775896135513e-07,3.2336179228277835e-06,Gm15050,6.608222561780748,DEG
Wnt6,179.4408797480068,7.093197604144729,0.40622538943020275,17.461236517230233,2.8274292187442894e-68,1.913535846954648e-65,Wnt6,67.5486082583012,DEG
Defa38,30.991912294575798,7.054318227195869,0.8463486551603987,8.335002583372622,7.749650084488336e-17,3.1555706925977245e-15,Defa38,16.110717906500994,DEG
Sptlc3,29.86959732726337,7.028178875038813,0.7065169423093354,9.947643791904504,2.582245687799483e-23,1.846282149056341e-21,Sptlc3,22.588002439149616,DEG
Gfra3,173.6629169394205,6.978213286440518,0.42692886415458453,16.345142885241444,4.710654450666152e-60,2.3113414893999807e-57,Gfra3,59.326918752198395,DEG
Hoxa3,101.34970705239095,6.897865018523678,0.6312858003151711,10.926691230944684,8.59245849424171e-28,8.737817960478493e-26,Hoxa3,27.06588255703948,DEG
Hapln1,87.5537745394262,6.846426530590295,1.9711382258319439,3.473336593480487,0.0005140302646123196,0.0036819762731436835,Hapln1,3.2890113102514427,DEG
Noto,200.99090375608995,6.7346359360909105,2.020076065927406,3.3338526452958472,0.0008565202042325852,0.0058067336056548645,Noto,3.067262388117932,DEG
Mst1r,16.07563302276329,6.733259404225091,0.9180790643254084,7.3340735736879,2.2326042951913517e-13,6.544915339742056e-12,Mst1r,12.65118824407744,DEG
