Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,-log10P,Category
Mir100hg,12.233776611996065,3.5854300930055816,1.283639115591346,2.7931760955678326,0.00521932703253015,0.9943894384316163,Mir100hg,2.2823854902735783,DEG
Mst1r,16.07563302276329,3.2717074732040845,1.5580235424254212,2.099908880780403,0.03573685739443713,0.9943894384316163,Mst1r,1.4468836408696073,DEG
Zfp536,21.457974282599945,2.8102768926459203,1.1863060155573906,2.368930828800949,0.017839589531819633,0.9943894384316163,Zfp536,1.7486151424552174,DEG
Tmem200c,10.05148347332454,2.577430835545337,1.150126886398324,2.240996942186685,0.02502627307941117,0.9943894384316163,Tmem200c,1.601603820849629,DEG
Gm11992,29.82937535070347,2.3049494878144725,0.9322827203660378,2.4723717789272026,0.01342198520338674,0.9943894384316163,Gm11992,1.8721832442927138,DEG
Arsi,42.86029200480819,2.2240067516412374,0.9672743739406586,2.299251186176548,0.021490679947514205,0.9943894384316163,Arsi,1.6677498435694282,DEG
Tdrd9,14.088102784247457,2.059624199482496,0.815804886089858,2.5246529342993367,0.011581260152187347,0.9943894384316163,Tdrd9,1.9362441826322663,DEG
2700033N17Rik,19.58095356741376,-2.258361726629361,1.148965170576093,-1.9655615195863725,0.049349282779760834,0.9943894384316163,2700033N17Rik,1.3067191547887853,DEG
Erich2,27.916523812511166,-2.5918818483489714,1.1273289078051059,-2.2991354434397766,0.021497249420684025,0.9943894384316163,Erich2,1.6676171046349968,DEG
Pacrg,16.6860561060145,-2.671618151178518,1.1407316493755988,-2.342021589951396,0.019179605401982776,0.9943894384316163,Pacrg,1.7171603321760083,DEG
Trim9,64.77311224745624,-3.1506474599600858,1.4772532943136574,-2.1327740287246404,0.03294326772934977,0.9943894384316163,Trim9,1.4822333242179437,DEG
Airn,44.43458300529898,-3.298269302173922,1.1488358064734363,-2.870966663459567,0.004092186783294364,0.9943894384316163,Airn,2.3880445516209887,DEG
