Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,-log10P,Category
Cbln4,25.968827242370878,6.534171247865361,1.9387495530798575,3.37030187188712,0.0007508587941577824,0.004822439058064992,Cbln4,3.1244417283541286,DEG
Cer1,923.8301875004659,5.936483284709132,2.1656849502654194,2.74115738024664,0.006122317481703231,0.026272320386713698,Cer1,2.2130841531808993,DEG
Msc,37.09478441741747,4.564525823051181,1.4641371995454908,3.1175533443642696,0.001823589416767133,0.00995741822397455,Msc,2.7390729368983338,DEG
Sez6,22.18862698597029,4.526407218487517,0.938346909727383,4.823810012655735,1.408415805371551e-06,2.157659446818959e-05,Sez6,5.851269109881935,DEG
Eomes,265.25017408676905,4.147212333715696,0.29616591718213375,14.003003361002126,1.494202967369018e-44,1.7731591675078338e-41,Eomes,43.8255904054515,DEG
Ccdc187,12.2008494358704,4.1194019525782215,1.0321066022376006,3.9912562749306937,6.572421053338764e-05,0.0006180900441143176,Ccdc187,4.182274621852297,DEG
Ajap1,15.161870600892911,4.076082499822335,1.984367603265662,2.0540964754284188,0.039966355131044004,0.11210199283756651,Ajap1,1.3983054569101172,DEG
Creg2,19.865547132399502,4.074308330361661,2.030219493094891,2.0068314505988396,0.044767612840158885,0.12150457397703489,Creg2,1.3490360630431106,DEG
Dll4,19.623584691903737,4.0739505173763755,2.048282938261728,1.9889588695367093,0.04670574301686842,0.1250051175435859,Dll4,1.3306297145690902,DEG
Pld5,13.708442533959122,4.042838177523508,2.016342630030408,2.0050353135977383,0.04495927192889048,0.1217940041490315,Pld5,1.3471807303532644,DEG
Tal2,27.05459392422274,4.013986636805225,1.1725615126541764,3.4232631665687885,0.0006187414289033675,0.004112591134723072,Tal2,3.208490804067673,DEG
Tceal6,11.97643600822117,3.959985378876168,0.957363591117354,4.136344243313459,3.528826867682148e-05,0.00036341263075922894,Tceal6,4.452369648598024,DEG
Rassf4,31.96328181228009,3.924252065753328,0.8579994970195682,4.573723037583353,4.791331161385818e-06,6.35016029438995e-05,Rassf4,5.31954381106794,DEG
Aqp4,12.886083694158117,3.759641633689281,1.8662266786290949,2.0145685820176267,0.043949872184362825,0.1199691622296016,Aqp4,1.3570423836097005,DEG
Corin,49.25213257742761,3.68563460167674,1.477792310086506,2.494013926396053,0.012630758872644553,0.04664944149587922,Corin,1.898570555675772,DEG
Car4,704.3880641848411,3.6561724472920187,0.2588871929142759,14.122647034543228,2.754472777341775e-45,3.541104294670963e-42,Car4,44.55996151543394,DEG
Kcnc2,14.29533614344004,3.5565086909990957,1.5063557478155993,2.3610018391448833,0.01822564022768397,0.06178135613985511,Kcnc2,1.7393172069075653,DEG
Gad2,54.31300055815753,3.461955768556899,0.5033161644259188,6.878292439714504,6.0574224716529935e-12,2.6775890106071844e-10,Gad2,11.21771213564671,DEG
Snord13,14.42961044271296,3.347843397414904,1.0216536796647788,3.276886741614229,0.0010495846200086001,0.006349781150146147,Snord13,2.9789825418159137,DEG
Cyp2j13,29.274307835423237,3.324283698765353,0.622777154715057,5.337838219653919,9.406132914612764e-08,1.9451529822215965e-06,Cyp2j13,7.026588888690615,DEG
Dhrs3,201.95268883537855,3.1851799703049952,0.31509481354073454,10.108639791664562,5.058164020830117e-24,9.754037043668277e-22,Dhrs3,23.29600709191797,DEG
Shisa3,53.266878247091086,3.1607342696980267,0.43325210035509354,7.295369756101558,2.978399734046828e-13,1.640991882040729e-11,Shisa3,12.526017015569547,DEG
Miat,60.34275816774655,3.133208020911605,0.42862660733459873,7.3098775654534425,2.6738590657083096e-13,1.489156094104047e-11,Miat,12.572861487350107,DEG
Tmc5,11.016802891477703,3.1104598425924164,0.9394015280213771,3.3111079233007534,0.0009292736157410023,0.005745853334683945,Tmc5,3.0318563933146345,DEG
